"SEP=,"
ProSeedling Software
Cultivar,Lot number,Number of seeds,Analyst,Date
,0,20,,17-08-23

Seedling,hypocotyl,root,Total length,hypocotyl/root ratio
1,5.55,8.32,13.88,0.67
2,7.35,11.03,18.38,0.67
3,9.6,14.4,24.0,0.67
4,0.0,0.75,0.75,0.0
5,5.12,10.25,15.38,0.5
6,0.0,5.25,5.25,0.0
7,4.7,12.93,17.62,0.36
8,4.28,2.85,7.12,1.5
9,6.25,12.5,18.75,0.5
10,6.5,13.0,19.5,0.5
11,4.1,11.28,15.38,0.36
12,6.62,13.25,19.88,0.5
13,9.6,14.4,24.0,0.67
14,5.42,6.2,11.62,0.87
15,6.17,0.95,7.12,6.49
16,7.2,10.8,18.0,0.67
17,5.88,11.75,17.62,0.5
18,1.5,9.75,11.25,0.15
19,4.1,11.28,15.38,0.36
20,7.2,6.3,13.5,1.14

Vigor Index,Growth,Uniformity,Germination,Average length,Standard deviation,Normal Seedlings,Abnormal Seedlings,Non germinated seeds
1027,1178,676,95.0 %,588.75,5.93,19,0,1
